Summary,Issue Type,Priority,Epic,Labels,Assignee,Description,Dependencies
"Design: Shared inference cluster template (inference-only, no MaaS)",Story,High,Shared Inference Cluster,osac-aap design,Mriganka,"Design an OSAC AAP template role for inference-only clusters (LLMD + models, no MaaS gateway, no Keycloak). Cloud provider uses this to create shared model-serving infrastructure. MaaS installation must be optional and NOT included by default. Template should support GPU node pools and model pre-loading via LLMInferenceService. Deliverable: design doc with template structure, meta/osac.yaml, and parameter list.",
"Implement: Shared inference cluster AAP template role",Story,High,Shared Inference Cluster,osac-aap implement,Mriganka,"Create osac.templates.ocp_4_20_ai_inference role. Install KServe + vLLM + GPU operators. No MaaS, no Keycloak, no Service Mesh. Template type: cluster. Expose models via LLMInferenceService with cluster-internal + external endpoints. Parameters: model list, GPU class, replica count.",Design: Shared inference cluster template
"Implement: Standalone playbook for shared inference cluster",Story,Medium,Shared Inference Cluster,osac-aap implement,Mriganka,"Create playbook_osac_create_inference_cluster.yml for local testing of the inference-only template role. Follow OSAC playbook naming convention.",Implement: Shared inference cluster AAP template role
"Validate: Deploy shared inference cluster on live cluster",Story,High,Shared Inference Cluster,osac-aap validate,Mriganka,"Deploy inference-only cluster template. Verify models are serving, endpoints accessible, no MaaS/Keycloak installed. Test with at least 2 models (e.g., M1=Granite 8B, M2=Granite 2B).",Implement: Shared inference cluster AAP template role
"Design: Tenant cluster with MaaS + ExternalModel support",Story,High,Tenant Cluster,osac-aap design,Mriganka,"Extend existing ocp_4_20_ai_maas template to support ExternalModel registration as part of provisioning. Tenant admin configures cluster via RHOAI dashboard and links external models from shared inference clusters. Design the parameter interface: which shared cluster(s) to connect, which models to expose.",
"Implement: ExternalModel CR creation in tenant cluster role",Story,High,Tenant Cluster,osac-aap implement,Mriganka,"Add tasks to ocp_4_20_ai_maas (or a new role) to create ExternalModel CRs pointing to shared inference cluster model endpoints. Include MaaSModelRef + MaaSAuthPolicy + MaaSSubscription for each external model. Parameterize shared model list via defaults/main.yaml.",Design: Tenant cluster with MaaS + ExternalModel support
"Investigate: ExternalModel FQDN limitation with MaaS URL paths",Spike,High,ExternalModel Bridge,investigate,Mriganka,"ExternalModel CR endpoint field accepts only FQDN (hostname type, no path). MaaS exposes models at url/project/model-name paths. Demo team uses a proxy to translate between formats. Investigate: (1) Can ExternalModel spec be extended to support path-based endpoints? (2) What proxy does the demo team use? (3) Is there an upstream RFE or PR? (4) What is the simplest workaround for OSAC? Deliverable: investigation doc with recommendation.",
"Implement: Proxy for ExternalModel path translation",Story,High,ExternalModel Bridge,implement,Mriganka,"Based on investigation findings, implement the proxy or workaround that translates between ExternalModel FQDN format and MaaS url/project/model-name format. Options: (a) Envoy route rewrite, (b) dedicated proxy deployment, (c) HTTPRoute path manipulation. Must be automatable via Ansible.",Investigate: ExternalModel FQDN limitation with MaaS URL paths
"Validate: ExternalModel bridge end-to-end",Story,High,ExternalModel Bridge,validate,Mriganka,"From tenant cluster, send inference request to a model hosted on a shared inference cluster via ExternalModel + MaaS gateway. Verify: auth enforcement, rate limiting, and correct model response. Test with at least 2 shared models.",Implement: Proxy for ExternalModel path translation
"Design: Automated shared model endpoint registration",Story,High,Model Registration,design,Mriganka,"Design mechanism to automatically discover and register shared model endpoints in tenant clusters during provisioning. Options: (1) API call to shared cluster to list LLMInferenceService endpoints, (2) OSAC fulfillment service stores model catalog per shared cluster, (3) ConfigMap/Secret-based model registry on hub cluster. Deliverable: design doc with chosen approach.",
